ID,Product_Type,HTS,Company,Address,City,State,ZIP,Percent,Total_Amount,Quantity_1,Quantity_2,Quantity_3,Quantity_4,Quantity_5,Origin_1,Origin_2,Origin_3,Origin_4,Origin_5,Exporter_1,Exporter_2,Exporter_3,Exporter_4,Exporter_5,District,Abbreviation,Code,Approved,Denied_Incomplete,Denied_Country,Denied_Production,Pending,Denied,Posted_Date,Received_Date,Total_Exclusions,Total_Approved,Total_Denied,Total_Pending,Objections,Total_Objections,Total_Firms
BIS-2018-0002-17973,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,10000000,10000000,-999,-999,-999,-999,China,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/18/19,136,29,4,103,1,146,1
BIS-2018-0002-17974,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,15000000,15000000,-999,-999,-999,-999,China,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/18/19,136,29,4,103,1,146,1
BIS-2018-0002-17975,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,5000000,5000000,-999,-999,-999,-999,China,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/18/19,136,29,4,103,1,146,1
BIS-2018-0002-1798,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,305000,305000,-999,-999,-999,-999,Germany,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/4/18,34,33,0,1,1,34,1
BIS-2018-0002-1799,Foil,7607116000,Trinidad/Benham Corp.,"3650 S. Yosemite St, Suite 300",Denver,Colorado,80237,0.9,1600000,1600000,1600000,1600000,-999,-999,Brazil,Turkey,Turkey,N/A,N/A,Brazil,Turkey,Turkey,N/A,N/A,01,CO,CO-01,0,0,0,0,1,0,6/11/18,6/4/18,37,16,20,1,1,38,2
BIS-2018-0002-1800,Foil,7607116000,Trinidad/Benham Corp.,"3650 S. Yosemite St, Suite 300",Denver,Colorado,80237,1,425000,425000,-999,-999,-999,-999,Brazil,N/A,N/A,N/A,N/A,Brazil,N/A,N/A,N/A,N/A,01,CO,CO-01,0,0,0,1,0,1,6/11/18,6/4/18,37,16,20,1,1,38,2
BIS-2018-0002-1801,Foil,7607116000,Trinidad/Benham Corp.,"3650 S. Yosemite St, Suite 300",Denver,Colorado,80237,0.9,7250000,7250000,7250000,7250000,-999,-999,Brazil,Turkey,Turkey,N/A,N/A,Brazil,Turkey,Turkey,N/A,N/A,01,CO,CO-01,0,0,0,1,0,1,6/11/18,6/4/18,37,16,20,1,1,38,2
BIS-2018-0002-1802,Foil,7607116000,Trinidad/Benham Corp.,"3650 S. Yosemite St, Suite 300",Denver,Colorado,80237,0.9,16500000,16500000,16500000,16500000,-999,-999,Brazil,Turkey,Turkey,N/A,N/A,Brazil,Turkey,Turkey,N/A,N/A,01,CO,CO-01,0,0,0,1,0,1,6/11/18,6/4/18,37,16,20,1,1,38,2
BIS-2018-0002-1803,Foil,7607116000,Trinidad/Benham Corp.,"3650 S. Yosemite St, Suite 300",Denver,Colorado,80237,1,1200000,1200000,1200000,1200000,-999,-999,Brazil,Turkey,Turkey,N/A,N/A,Brazil,Turkey,Turkey,N/A,N/A,01,CO,CO-01,0,1,0,0,0,1,6/11/18,6/4/18,37,16,20,1,1,38,2
BIS-2018-0002-1804,Foil,7607116000,Trinidad/Benham Corp.,"3650 S. Yosemite St, Suite 300",Denver,Colorado,80237,0.9,6750000,6750000,6750000,6750000,-999,-999,Brazil,Turkey,Turkey,N/A,N/A,Brazil,Turkey,Turkey,N/A,N/A,01,CO,CO-01,0,0,0,1,0,1,6/11/18,6/4/18,37,16,20,1,1,38,2
